name,IC_mean,IC_IR,LS_gross_SR,LS_net_SR
MOM_6M_skip1w,0.009979782603310302,0.03480024074835297,-0.15530711127325866,-0.36218747054457096
DEF_vol_1M,-0.0006644663493641463,-0.0023904154003362597,-0.6916630923699061,-0.9200966875662531
VAL_proxy,-0.010953189716449346,-0.05536899200315231,-0.34474445707125145,-0.701025764898587
